"","MP.Lepus","Ozt.Lepus","P5.Lepus","Teopan.Lepus","TyC.Lepus","MP.Sylv","Ozt.Sylv","P5.Sylv","Teopan.Sylv","TyC.Sylv"
"MP.Lepus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozt.Lepus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"P5.Lepus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Teopan.Lepus",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"TyC.Lepus",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MP.Sylv",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Ozt.Sylv",NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"P5.Sylv",NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Teopan.Sylv",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"TyC.Sylv",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
